epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2395.48,0.63987,0.39161,0.90939,0.99025,0.98571,0.99298,0.87033,0.59293,0.26396,0.89742,0.00352037,0.00352037,0.00352037
62,2434.67,0.63375,0.38593,0.90816,0.99386,0.98549,0.99311,0.87031,0.59358,0.26207,0.89747,0.00337325,0.00337325,0.00337325
63,2473.89,0.63253,0.38594,0.90641,0.9944,0.98594,0.99328,0.87055,0.59513,0.26113,0.89787,0.00322778,0.00322778,0.00322778
64,2513.35,0.6346,0.38623,0.90865,0.99392,0.98267,0.99299,0.86942,0.59655,0.26074,0.89846,0.00308412,0.00308412,0.00308412
65,2552.44,0.6237,0.38086,0.90434,0.98832,0.99007,0.99286,0.87143,0.59427,0.25878,0.89757,0.00294239,0.00294239,0.00294239
66,2591.66,0.62644,0.37794,0.90299,0.98747,0.99024,0.99326,0.87131,0.59243,0.2574,0.89549,0.00280275,0.00280275,0.00280275
67,2631.21,0.62332,0.37538,0.90337,0.98895,0.99043,0.99327,0.87283,0.59324,0.25507,0.89628,0.00266532,0.00266532,0.00266532
68,2670.57,0.6236,0.37535,0.90292,0.99442,0.98465,0.99353,0.87388,0.59276,0.2555,0.89646,0.00253024,0.00253024,0.00253024
69,2709.95,0.62163,0.3717,0.90235,0.99022,0.98783,0.99328,0.87173,0.5933,0.25438,0.89647,0.00239766,0.00239766,0.00239766
70,2749.49,0.61598,0.36943,0.90134,0.99331,0.98451,0.99327,0.87284,0.59291,0.25439,0.89596,0.00226769,0.00226769,0.00226769
71,2788.86,0.61182,0.36657,0.89904,0.99203,0.98401,0.99311,0.87235,0.59191,0.25447,0.89505,0.00214046,0.00214046,0.00214046
72,2828.33,0.61072,0.36323,0.89893,0.99145,0.98757,0.99344,0.87326,0.59282,0.25366,0.89576,0.00201611,0.00201611,0.00201611
73,2867.74,0.60984,0.35846,0.89702,0.99134,0.98724,0.99328,0.87337,0.59295,0.25265,0.89575,0.00189475,0.00189475,0.00189475
74,2907.07,0.60746,0.36069,0.89837,0.98995,0.98834,0.99357,0.874,0.59134,0.25142,0.89397,0.00177651,0.00177651,0.00177651
75,2946.35,0.60758,0.36017,0.89841,0.99098,0.98744,0.99346,0.87444,0.59085,0.25071,0.89372,0.00166149,0.00166149,0.00166149
76,2985.76,0.61025,0.35658,0.89971,0.99004,0.98999,0.99327,0.87312,0.59132,0.25133,0.89415,0.00154982,0.00154982,0.00154982
77,3025.06,0.60783,0.353,0.89759,0.99222,0.98701,0.99344,0.87458,0.59207,0.25067,0.8939,0.00144161,0.00144161,0.00144161
78,3064.33,0.59815,0.35053,0.89139,0.98938,0.99045,0.99348,0.87561,0.59124,0.25108,0.8934,0.00133695,0.00133695,0.00133695
79,3103.83,0.59747,0.34782,0.8918,0.99037,0.98918,0.99358,0.87591,0.5909,0.24986,0.89353,0.00123596,0.00123596,0.00123596
80,3143.25,0.59355,0.3453,0.89219,0.99005,0.98996,0.99355,0.87502,0.59117,0.24916,0.89379,0.00113873,0.00113873,0.00113873
81,3183.12,0.59208,0.34233,0.89113,0.9905,0.98979,0.99354,0.87568,0.59097,0.24869,0.89396,0.00104537,0.00104537,0.00104537
82,3222.76,0.59292,0.34333,0.89141,0.99072,0.98909,0.99347,0.87529,0.5909,0.24839,0.89369,0.000955951,0.000955951,0.000955951
83,3261.28,0.5889,0.34166,0.89095,0.99165,0.9885,0.99351,0.87491,0.59114,0.24819,0.89361,0.000870577,0.000870577,0.000870577
84,3299.75,0.59026,0.33865,0.88734,0.99031,0.99187,0.99347,0.87605,0.59079,0.24789,0.89408,0.000789327,0.000789327,0.000789327
85,3338.61,0.58483,0.33895,0.8883,0.99096,0.98995,0.99344,0.87623,0.59018,0.24748,0.89422,0.000712282,0.000712282,0.000712282
86,3378.14,0.58454,0.33897,0.89153,0.99112,0.98991,0.99351,0.87598,0.59028,0.24722,0.89461,0.000639518,0.000639518,0.000639518
87,3417.29,0.58526,0.33687,0.89158,0.98942,0.99115,0.99353,0.87611,0.58954,0.24754,0.89436,0.000571106,0.000571106,0.000571106
88,3456.92,0.57905,0.33039,0.88594,0.9885,0.9913,0.99353,0.876,0.59015,0.2474,0.89497,0.000507115,0.000507115,0.000507115
89,3496.54,0.58214,0.33204,0.89019,0.98923,0.99056,0.99359,0.8756,0.59054,0.24688,0.89507,0.000447606,0.000447606,0.000447606
90,3535.99,0.58,0.32891,0.88591,0.99131,0.98753,0.9936,0.87488,0.59104,0.24677,0.89533,0.00039264,0.00039264,0.00039264
